File Name, Num Words, Num Tokens, Num Sentences, Num Speakers, Ave Sentence Len, Ave Word Len, '', :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB
mlpaf.s01_dialog.txt,39935,3295,7363,0,24.78,3.82,30,64,854,154,2965,156,4,2594,2544,115,43,1152,7598,0,1410,44,259,4252,688,3342,67,12,307,1,1000,209,3392,955,601,642,2338,1288,103,417,2,333
mlpaf.s02_dialog.txt,12520,1728,2343,0,24.21,3.79,23,13,244,56,1011,56,1,818,820,32,13,375,2327,3,516,18,120,1298,231,959,24,6,78,0,299,46,1028,249,185,203,726,450,24,164,0,104
mlpfim.s01_dialog.txt,57947,4858,9452,0,28.81,3.92,157,6,1417,356,4702,171,6,4204,4155,176,176,1311,11291,18,2260,98,320,4995,1159,4738,61,55,447,1,1455,272,4114,1443,1002,851,3301,1918,127,648,4,532
mlpfim.s02_dialog.txt,54593,4849,8349,0,31.13,3.97,165,25,1250,377,4193,138,20,3913,4072,124,129,1235,11092,8,2038,72,370,4636,1087,4502,52,49,377,0,1366,190,3953,1507,940,767,3025,1766,117,584,2,452
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlpaf,52455,3983,9706,0,24.64,3.81,53,77,1098,210,3976,212,5,3412,3364,147,56,1527,9925,3,1926,62,379,5550,919,4301,91,18,385,1,1299,255,4420,1204,786,845,3064,1738,127,581,2,437
mlpfim,112540,7201,17801,0,29.9,3.95,322,31,2667,733,8895,309,26,8117,8227,300,305,2546,22383,26,4298,170,690,9631,2246,9240,113,104,824,1,2821,462,8067,2950,1942,1618,6326,3684,244,1232,6,984
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlpaf,1000,75.93,185.03,0,24.64,3.81,1.01,1.47,20.93,4,75.8,4.04,0.1,65.05,64.13,2.8,1.07,29.11,189.21,0.06,36.72,1.18,7.23,105.8,17.52,81.99,1.73,0.34,7.34,0.02,24.76,4.86,84.26,22.95,14.98,16.11,58.41,33.13,2.42,11.08,0.04,8.33
mlpfim,1000,63.99,158.17,0,29.9,3.95,2.86,0.28,23.7,6.51,79.04,2.75,0.23,72.13,73.1,2.67,2.71,22.62,198.89,0.23,38.19,1.51,6.13,85.58,19.96,82.1,1,0.92,7.32,0.01,25.07,4.11,71.68,26.21,17.26,14.38,56.21,32.74,2.17,10.95,0.05,8.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlpaf,1000,75.93,185.03,0,24.64,3.81,1.01,1.47,20.93,4,75.8,4.04,0.1,65.05,64.13,2.8,1.07,29.11,189.21,0.06,36.72,1.18,7.23,105.8,17.52,81.99,1.73,0.34,7.34,0.02,24.76,4.86,84.26,22.95,14.98,16.11,58.41,33.13,2.42,11.08,0.04,8.33
mlpfim,1000,63.99,158.17,0,29.9,3.95,2.86,0.28,23.7,6.51,79.04,2.75,0.23,72.13,73.1,2.67,2.71,22.62,198.89,0.23,38.19,1.51,6.13,85.58,19.96,82.1,1,0.92,7.32,0.01,25.07,4.11,71.68,26.21,17.26,14.38,56.21,32.74,2.17,10.95,0.05,8.74
