File Name, Num Words, Num Tokens, Num Sentences, Num Speakers, Ave Sentence Len, Ave Word Len, AJ0, AJC, AJS, AT0, AV0, AVP, AVQ, CJC, CJS, CJT, CRD, DPS, DT0, DTQ, EX0, ITJ, NN, NP0, ORD, PNI, PNP, PNQ, PNX, POS, PRF, PRP, PUL, PUQ, PUR, TO0, UNC, VB, VDB, VDD, VDG, VDI, VDN, VDZ, VHB, VHD, VHG, VHI, VHN, VHZ, VM0, VV, XX0, ZZ0
bnc_c5_tagged_dialog\mlpaf.s01_tagged_c5.txt,39984,3244,7550,0,24.5,3.81,1926,43,32,1799,2952,669,281,846,418,109,139,653,1146,418,114,1573,5105,1006,62,353,5624,60,50,67,311,1624,4,35,4,796,76,2336,363,135,30,186,35,31,327,40,1,116,12,57,1376,5876,757,11
bnc_c5_tagged_dialog\mlpaf.s02_tagged_c5.txt,12530,1704,2391,0,24.08,3.79,616,15,9,596,870,166,99,246,123,23,46,222,390,140,36,471,1682,321,17,96,1719,38,10,37,128,509,0,19,0,230,13,801,100,31,12,39,9,19,101,10,1,31,1,27,463,1765,233,0
bnc_c5_tagged_dialog\mlpfim.s01_tagged_c5.txt,58112,4887,9844,0,27.96,3.91,3306,75,150,2850,4279,829,438,1399,663,222,320,1104,1922,563,114,1738,8679,963,121,388,7191,142,83,128,556,2573,24,325,11,1234,130,3487,464,174,77,188,29,88,404,58,22,154,4,91,1432,7778,1098,44
bnc_c5_tagged_dialog\mlpfim.s02_tagged_c5.txt,54573,4890,8514,0,30.9,3.98,3123,50,103,2550,3910,661,377,1239,635,206,359,1012,1728,500,100,1708,8455,1234,136,372,6763,131,87,158,530,2470,6,158,8,1115,88,3117,496,211,48,113,33,72,402,71,12,164,14,108,1331,7317,1054,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlpaf_c5,52514,3912,9941,0,24.4,3.81,2542,58,41,2395,3822,835,380,1092,541,132,185,875,1536,558,150,2044,6787,1327,79,449,7343,98,60,104,439,2133,4,54,4,1026,89,3137,463,166,42,225,44,50,428,50,2,147,13,84,1839,7641,990,11
mlpfim_c5,112685,7275,18358,0,29.32,3.94,6429,125,253,5400,8189,1490,815,2638,1298,428,679,2116,3650,1063,214,3446,17134,2197,257,760,13954,273,170,286,1086,5043,30,483,19,2349,218,6604,960,385,125,301,62,160,806,129,34,318,18,199,2763,15095,2152,82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlpaf_c5,1000,74.49,189.3,0,24.4,3.81,48.41,1.1,0.78,45.61,72.78,15.9,7.24,20.79,10.3,2.51,3.52,16.66,29.25,10.63,2.86,38.92,129.24,25.27,1.5,8.55,139.83,1.87,1.14,1.98,8.36,40.62,0.08,1.03,0.08,19.54,1.69,59.74,8.82,3.16,0.8,4.28,0.84,0.95,8.15,0.95,0.04,2.8,0.25,1.6,35.02,145.5,18.85,0.21
mlpfim_c5,1000,64.56,162.91,0,29.32,3.94,57.05,1.11,2.25,47.92,72.67,13.22,7.23,23.41,11.52,3.8,6.03,18.78,32.39,9.43,1.9,30.58,152.05,19.5,2.28,6.74,123.83,2.42,1.51,2.54,9.64,44.75,0.27,4.29,0.17,20.85,1.93,58.61,8.52,3.42,1.11,2.67,0.55,1.42,7.15,1.14,0.3,2.82,0.16,1.77,24.52,133.96,19.1,0.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File Name, Num Types, Num Sents, Ave Sent Len, Ave Word Len,Conjunction,Determiner,Preposition,Adjective,Modal,Noun,Proper Noun,Possessive,Pronoun,Adverb,Infinitive,Lexical Verb,Being Verb, Wh word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlpaf,74.49,189.3,24.4,3.81,33.6,29.25,48.98,50.29,35.02,129.24,25.27,18.64,149.52,88.68,19.54,145.5,59.74,17.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlpfim,64.56,162.91,29.32,3.94,38.73,32.39,54.39,60.41,24.52,152.05,19.5,21.32,132.08,85.89,20.85,133.96,58.61,16.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
